"","id","created_time","snippet","headline"
"1",1,"2000-12-24T05:00:00+0000","Leading Christian churches in Jerusalem, increasingly assertive and unusually unified, have shifted position over past three months of violence and are now openly backing Palestinian demands for full sovereignty over Jerusalem's Old City and its C...","Jerusalem Christians Now Back Palestinian Sovereignty"
"2",2,"2000-12-26T05:00:00+0000","Misogynist sideshow at John Galliano's spring show for Dior recalled; photo (S)","Big Models, Big Brands: The Year in Fashion; Where Is the Outrage?"
"3",3,"2000-12-23T05:00:00+0000","Maronite Catholic patriarch Cardinal Nasrallah Butros Sfeir declares that Lebanon is in thrall of neighboring Syria and is neither sovereign nor independent; says it is time for Syria to remove its troops from Lebanon and stop interfering in count...","Breaking Taboo, Lebanese Prelate Criticizes Syria"
"4",4,"2000-12-15T05:00:00+0000","Gucci Group NV reports strong revenue and profit growth in third quarter; operating income rose 92 percent, to $133 million, on 101 percent increase in revenue, to $615 million; Gucci shares drop 5.6 percent, to close at 98.80 euros; chief executi...","Gucci Posts Strong Growth, But Share Price Declines"
"5",5,"2000-12-14T05:00:00+0000","Yeshiva University will buy residential hotel from Ladies Christian Union for $7.25 million to be used as dorm for students at Stern College for Women (S)","Metro Business Briefing; YESHIVA BUYS HOTEL"
"6",6,"2000-12-11T05:00:00+0000","Ivory Coast holds parliamentary elections; country's fractured politics depresses turnout in largely Christian south and shuts down voting in several cities in Muslim north; photo; map (S)","Shadowed By Bitterness, Vote Is Held In Ivory Coast"
"7",7,"2000-12-10T05:00:00+0000","There is widening political rift in Ivory Coast; six weeks after stunning popular revolt, religious and ethnic divisions unleashed by fall of military junta have widened dangerously, and there appears to be no end in sight to political stalemate p...","A Widening Political Rift in Ivory Coast"
"8",8,"2000-11-26T05:00:00+0000","","Paid Notice: Deaths  HEIM, ROBERT CHRISTIAN"
"9",9,"2000-12-03T05:00:00+0000","Christian Claessens, new director of Scarsdale Ballet Studio, discusses dance for men (Footlights)","Footlights"
"10",10,"2000-12-02T05:00:00+0000","Article discusses evidence put forth by two scholars for existence of messiah predating Jesus based on writings in Dead Sea Scrolls; Michael O Wise, professor at Northwestern College and author of The First Messiah: Investigating the Savior Before...","Proposing A Messiah Before Jesus"
"11",1,"2000-11-25T05:00:00+0000","Daniel Sack, Protestant minister and historian, argues in a new book, Whitebread Protestants, that food--from Communion services to potluck suppers--is a central part of mainline Protestant church life, revealing complex and shifting understanding...","Beliefs; A minister turns to food's role among 'whitebread Protestants.'"
"12",2,"2000-11-19T05:00:00+0000","","Michele Browne, Michael Culver"
"13",3,"2000-11-19T05:00:00+0000","","Elizabeth Smith, Paul Dougherty"
"14",4,"2000-11-19T05:00:00+0000","Small churches springing up in North Amityville, LI, disturb neighbors, who say they diminish property values; residents are working closely with officials of Town of Babylon to stem tide through enforcement of zoning and fire codes; one church ha...","Safety and Zoning vs. Freedom of Religion"
"15",5,"2000-11-17T05:00:00+0000","Six leaders of Christian Patriot Association, a white supremacist group, are arrested by IRS agents in Oregon on charges of running a 'warehouse bank' tha helped 900 people evade income taxes on $186 million over the last 14 years; warehouse bank ...","I.R.S. Arrests 6 in White Supremacist Group on Tax Charges"
"16",6,"2000-11-06T05:00:00+0000","Tensions are rising between Christians and Moslems in Ivory Coast, once envy of other African countries because of its religious and ethnic tolerance (M)","2 Religions Clashing in Ivory Coast"
"17",7,"2000-11-05T05:00:00+0000","","Alison Shanley, Peder Johnson II"
"18",8,"2000-10-31T05:00:00+0000","Article describes several scenes at parade in lower Manhattan honoring New York Yankees (M)","A Tough Day to Meet a Hero, Charm an Officer or Control a Kilt"
"19",9,"2000-10-23T05:00:00+0000","National Council of Churches plans unusual meeting in 2001 to bring together Christian leaders across historical dividing lines, including Roman Catholics, evangelical Protestants and Pentecostals (M)","Council of Churches Proposes Meeting With Christian Groups"
"20",10,"2000-10-30T05:00:00+0000","Anna Kisselgoff reviews new dance by Christian Holder performed by two casts at American Ballet Theater; photo (M)","Everybody Loves Somebody Sometime, but Rarely Forever"
"21",1,"2000-10-23T05:00:00+0000","Katherine W Fanning, former owner of Anchorage Daily News who later was editor of Christian Science Monitor, dies at age 73; photo (M)","Katherine W. Fanning, 73; Pioneering Newspaper Editor"
"22",2,"2000-10-22T05:00:00+0000","Valerie Gladstone article on American Ballet Theater's upcoming production of new work by choreographer Christian Holder, featuring recently rediscovered compositions by Cole Porter; photo (M)","Of Love Lost And Found (Also Music)"
"23",3,"2000-10-22T05:00:00+0000","Westport/Weston YMCA, which acquired Lees Pond Dam spanning Saugatuck River, Conn, 25 years ago, is leading $150,000 restoration 20 years after US Corps of Engineers recommended it be fixed; photo (M)","Saving a 'Sparkling' Gem, and Fish"
"24",4,"2000-10-14T05:00:00+0000","Church of Christ, Scientist plans to build library and museum, Boston, honoring founder, Mary Baker Eddy; church board chairman Virginia S Harris describes plan, interview; rendering (M)","Religion Journal; Honoring Christian Science Founder"
"25",5,"2000-10-21T05:00:00+0000","","Beliefs; Bright religious thinkers and scholars seldom appear on America's common cultural stage."
"26",6,"2000-10-21T05:00:00+0000","Gay rights advocates voice concern over $8.35 million donation by America Online chairman Stephen M Case and wife to Westminster Academy in Fort Lauderdale, which is affiliated with Christian elementary and high school established by television ev...","$8 Million Gift by AOL's Case Draws Protest"
"27",7,"2000-10-21T05:00:00+0000","Apparently anti-Semitic comments about Berlin Staatsoper artistic director Daniel Barenboim by leading Berlin politician Klaus Landowsky causes uproar; at issue is Barenboim's battle with city, which provides much of his financing, over plans to c...","Berlin Operas Are Feuding, With Anti-Semitic Overtones"
"28",8,"2000-10-13T05:00:00+0000","A political thriller pumped up with as much dramatic juice as ''The Contender'' doesn't have to be believable to be gripping. If this lurid Washington yarn about a sex scandal that threatens to destroy the hand-picked nominee (Joan Allen) of the l...","Those Strange Bedfellows Haunt a Politician"
"29",9,"2000-09-30T05:00:00+0000","the christian coalition: bush decides to address christian gr","Bush Will Address Christian Group After All"
"30",10,"2000-10-01T05:00:00+0000","Comment on statement issued by nearly 170 Jewish scholars and rabbis, in which they discuss links between Judaism and Christianity; criticism that goodwill statement could blur distinctions between two irreconcilable faiths also noted; photo (M)","Ideas & Trends; A Slight Judeo-Christian Warming Trend"
"31",1,"2000-10-05T05:00:00+0000","John Rockwell's Arts Abroad column on Robert Wilson's 14 Stations, installation depicting 14 Stations of the Cross in current staging of Oberammergau Passion Play; photos (M)","Stepping Past The Wolves On Jesus' Path Toward Death"
"32",2,"2000-10-01T05:00:00+0000","Gov George W Bush tells annual conference of Christian Coalition that he would sign law to ban late-term abortion, then adds that 'good people disagree' on abortion issue; fact that Bush does not ratchet up his oratory for audience that surely wou...","Bush Tempers His Remarks On Abortion"
"33",3,"2000-09-28T05:00:00+0000","T-Online International of Germany, Europe's biggest Internet service provider, loses its third senior manager in a month, heightening concerns about management upheaval and sending stock down 5 percent; manager, Christian Honing, chief financial o...","ANOTHER T-ONLINE EXECUTIVE LEAVES"
"34",4,"2000-09-27T05:00:00+0000","Gov George W Bush, in latest sign that he seeks to avoid being pegged as too conservative by moderate voters, will skip Christian Coalition convention, Washington, DC; stance is not stopping coalition and other conservative groups from stepping up...","Some Quiet Support On Polarizing Topics"
"35",5,"2000-09-17T05:00:00+0000","","Nadia Nagib, Christian Wallace"
"36",6,"2000-09-24T05:00:00+0000","Leaders of China's official Protestant church defend China's policies on religious freedom, holding record 15 million Chinese now worship in approved churches and that persecution of so-called underground Christians is rare, news conference; charg...","China Clerics Deny Reports That Churches Are Bullied"
"37",7,"2000-09-23T05:00:00+0000","Beliefs column on recent statement issued by more than 150 rabbis and Jewish scholars from all branches of Judaism, which calls on Jews to consider thoughtful response to changes in relationship between their faith and Christianity in light of sin...","Beliefs; Ten carefully worded paragraphs encourage Jews to consider a thoughtful response to changes in the relationship between Christianity and Judaism"
