"","id","created_time","snippet","headline"
"1",1,"2000-12-31T05:00:00+0000","Union of Orthodox Jewish Congregations confirms allegations that Rabbi Baruch Lanner of Paramus, NJ, abused numerous teenagers under his supervision over three decades; Lannar denies charges (S)","ABUSE BY RABBI FOUND"
"2",2,"2000-12-27T05:00:00+0000","Union of Orthodox Jewish Congregations releases report documenting extensive abuse by Baruch Lanner, New Jersey rabbi who led education and youth programs for three decades; report charges Lanner with array of sexual, physical and emotional abuse ...","Orthodox Group Details Accusations That New Jersey Rabbi Abused Teenagers"
"3",3,"2000-12-20T05:00:00+0000","Jewish Museum in New York City to present unusual exhibition Light x Eight: The Hanukkah Project 2000, featuring work of eight contemporary artists; photo; Savion Glover to lead tap dance program at New Jersey Performing Arts Center in Newark; pho...","FOOTLIGHTS"
"4",4,"2000-12-08T05:00:00+0000","Dr David G Marwell, leading American investigator of Nazi war crimes, is named director of Museum of Jewish Heritage: A Living Memorial to the Holocaust in New York City; photo (M)","Museum of Jewish Heritage Names New Director"
"5",5,"2000-12-07T05:00:00+0000","Rabbi Sheldon Zimmerman, leading figure in Judaism's Reform movement, resigns as president of Hebrew Union College-Jewish Institute of Learning after being suspended by Central Conference of American Rabbis for having entered into 'personal relati...","Suspended Rabbi Quits Seminary Presidency"
"6",6,"2000-10-31T05:00:00+0000","Survey by American Jewish Committee finds most American Jews accept marriages between Jews and non-Jews, compared with most rabbis who oppose such marriages as being against tradition and as threat to future of distinct Jewish community (M)","Marriage Issue Splits Jews, Poll Finds"
"7",7,"2000-10-27T05:00:00+0000","Panel of Jewish and Catholic scholars formed 11 months ago to research role of Pope Pius XII during Holocaust asks for access to closed Vatican archives; International Catholic-Jewish Commission says the 11 volumes of documents published by Vatica...","Jewish and Catholic Scholars Seek Pius XII's Files"
"8",8,"2000-10-26T05:00:00+0000","Ground is broken in Battery Park City in Lower Manhattan for new $60 million extension to Museum of Jewish Heritage: A Living Memorial to the Holocaust, which will more than triple its exhibition and teaching space; new 70,000-square-foot east win...","A Museum Wing To Bear Witness To Jewish Life"
"9",9,"2000-10-20T05:00:00+0000","Holland Cotter reviews Jewish Museum exhibit on culture and art of Jews in Morocco, where they lived from Roman times, long before arrival of Arab Muslims; photos (M)","When Jews and Muslims Uneasily Shared Morocco"
"10",10,"2000-10-22T05:00:00+0000","Auschwitz Jewish Center, $1 million reconstruction of turn-of-the-century synagogue led by New York-based Auschwitz Jewish Center Foundation, opens in Oswiecim, Poland; photos (M)","A Synagogue Reopens Near Auschwitz"
"11",1,"2000-10-04T05:00:00+0000","Random House pledges $1 million to Holocaust Survivors' Memoirs Project set up by World Jewish Congress to find and publish written accounts of those who suffered under Nazis during World War II; Elie Wiesel will serve as honorary chmn of project;...","Random House to Aid Holocaust Memoir Project"
"12",2,"2000-10-02T05:00:00+0000","American Jewish Committee, main sponsor of Common Quest, magazine of black-Jewish relations, is withdrawing its support; says it weighs other strategies for addressing issue of relations between blacks and Jews; photo (M)","A Niche Publication Loses Main Sponsor"
"13",3,"2000-09-30T05:00:00+0000","Gustav Niebuhr Religion Journal discusses Vice President Al Gore's selection of Senator Joseph I Lieberman as running mate; Rabbi Norman Lamm, president of Yeshiva University, and Rabbi Ismar Schorsch, chancellor of Jewish Theological Seminary, of...","Religion Journal; Ascent of Lieberman Inspires Sermon Ideas"
"14",4,"2000-09-24T05:00:00+0000","Marek Fuchs column on longstanding attempts by Westchester Jewish Conference and Islamic Society of Westchester and Rockland County to improve relations local Arabs and Jews; drawing (M)","Bridging the Gap Between Arab and Jew"
"15",5,"2000-09-27T05:00:00+0000","Florence Fabricant comments on Faye Levy's 625-page cookbook 1,000 Jewish Recipes; photo; recipes (M)","A Thousand Recipes (But Who's Counting?)"
"16",6,"2000-09-21T05:00:00+0000","Lawrence Van Gelder reports on exhibit of paintings from Detroit Institute of Arts at Phillips Collection in Washington, a Dario Fo performance at Barnard College, an exhibition at Jewish Museum of on the art and traditions of Morocco and its Jewi...","Footlights"
"17",7,"2000-09-10T05:00:00+0000","More than 200 people nationwide who have pledged at least $100,000 to Jewish day school through Partnership for Excellence in Jewish Education, will gather in White Plains, NY, to be recognized for their generosity (M)","Program Promotes Jewish Schools"
"18",8,"2000-09-08T05:00:00+0000","Nearly 170 Jewish scholars and rabbis sign theological statement calling on Jews to relinquish fear and mistrust of Christianity and acknowledge church efforts since Holocaust to amend teachings about Judaism; statement, Dabru Emet or speak truth ...","Leading Jewish Scholars Extend a Hand to Christians"
"19",9,"2000-08-20T05:00:00+0000","Jewish Center of Princeton, NJ, will mark its 50th anniversary with exhibit on history of city's Jewish community; photo (By the Way column) (S)","Jewish Life in Princeton"
