"","id","created_time","snippet","headline"
"1",1,"2010-12-27T19:04:19+0000","A number of women have grown wary of the largely male leadership of the Islamic community and weary of facing outsiders’ suspicions.","Muslim Women Gain Higher Profile in U.S."
"2",2,"2010-12-17T00:42:59+0000","Representative Peter T. King, who will become chairman of the House Homeland Security Committee, said he was responding to the concerns of law-enforcement officials.","Muslim ‘Radicalization’ Is Focus of Planned Inquiry"
"3",3,"2010-12-17T01:23:49+0000","At a time when Islam has been heavily politicized in the United States, many Muslim American artists say they hope the arts can expand understanding of their faith.","Muslim American Artists Strive to Bridge a Chasm"
"4",4,"2010-12-15T05:34:58+0000","The American Civil Liberties Union has filed a lawsuit on behalf of a Muslim woman who was arrested in 2008 when she refused to remove her head scarf while entering a court.","Georgia: Lawsuit Over Muslim Woman’s Head Scarf"
"5",5,"2010-12-12T02:33:46+0000","The group’s leader said surveillance and other tactics, as well as fear of hate crimes, fed mistrust of law enforcement.","Holder Calls Terrorism Sting Operations ‘Essential’"
"6",6,"2010-12-24T02:12:31+0000","Feisal Abdul Rauf, the imam behind the proposed Islamic center near ground zero, is taking to the road in January to foster dialogue about Muslim life in America.","Imam Behind Islamic Center Plans U.S. Tour"
"7",7,"2010-12-20T01:57:26+0000","Moktada al-Sadr’s party, Iraq’s most fiercely populist bloc, is trying to recast its image as it pushes for a role in the government.","Cleric’s Anti-U.S. Forces Poised for Gains in Iraq"
"8",8,"2010-12-17T00:34:00+0000","In a country fractured by sect and ethnicity, the heroism of an Iraqi police officer who died shielding others from a suicide bomb stands out amid the viciousness that stalks Iraq.","In Seconds Before Blast, the Making of a Hero"
"9",9,"2010-12-15T16:25:46+0000","To study the ground-level effects of the American troop buildup, reporters and video journalists for The New York Times visited Baghdad's neighborhoods, interviewing residents, Americans on patrol and Iraqi officials. ","Assessing the ‘Surge’: A Survey of Baghdad Neighborhoods"
"10",10,"2010-12-14T01:22:54+0000","A court in Nantes threw out a $30 fine on Monday that had been imposed on a woman who wore an Islamic veil while driving in April.","France: Veiled Driver’s Fine Rescinded"
"11",1,"2010-12-14T01:16:42+0000","Four people were killed and more than a dozen were wounded Monday in attacks on three groups of Shiite Muslims observing the religious holiday of Ashura.","Iraq: 4 Killed at Shiite Observance"
"12",2,"2010-12-06T13:18:09+0000","To understand U.S. politics today, try “It’s the fear element, stupid.”","Shariah at the Kumback Café"
"13",3,"2010-12-07T01:02:55+0000","A full census has not been done since 1987, but a new count has been repeatedly delayed.","Politics Delay an Iraqi Census"
"14",4,"2010-12-05T23:45:25+0000","The two main opposition groups boycotted Sunday’s runoff elections due to allegations of fraud.","Low Interest in Egyptian Runoff That Favors Ruling Party"
"15",5,"2010-12-04T11:31:38+0000","The attacks, two of them against Iranian pilgrims, rippled through Iraq’s capital on Saturday morning, breaking a stretch of relative calm.","7 Blasts Hit Baghdad, With Mostly Shiite Targets"
"16",6,"2010-12-01T03:25:21+0000","Many Muslim leaders applauded the F.B.I.’s efforts in the failed bombing plot in Portland, Ore., but some said that cases like that one risk undermining the trust of Muslim communities.","Terror Cases Strain Ties With Some Who Can Help"
"17",7,"2010-11-30T22:18:15+0000","As the results of Egypt’s parliamentary elections trickled in on Tuesday, no one was surprised that the governing party of President Hosni Mubarak won a huge victory.","First Round of Voting Ousts Islamists From Egypt’s Parliament"
"18",8,"2010-11-29T01:40:36+0000","There was a sense among many that Egypt’s long-dominant party was bent on entrenching its hold.","Fraud Charges Mar Egypt Vote"
"19",9,"2010-11-26T20:32:13+0000","James Zogby advises less shouting at the Islamic world and more listening in this book of poll numbers harvested since 9/11.","Failure to Communicate"
"20",10,"2010-11-22T00:45:48+0000","Amina Abaza and other activists complain that many butchers fail to abide even by Islam’s own strictures: that the animal should not be mistreated.","Activist Relies on Islam to Fight for Animal Rights"
"21",1,"2010-11-20T01:01:30+0000","The Parliament members escaped without injury, but officials in their multisectarian coalition suspected a political motive in the attack.","Bomb Explodes Near Convoy of Iraqi Lawmakers, Killing a Guard"
"22",2,"2010-11-19T00:19:42+0000","Iraqis celebrated on the first days of Id al-Adha — the Muslim holiday also known as the Feast of Sacrifice — in Baghdad.","The Feast of Sacrifice in Iraq"
"23",3,"2010-11-13T01:21:55+0000","Osama al-Najafi is a fresh face in a nascent Iraqi government dominated by familiar players, and he takes the speaker’s chair with both strong allies and resolute opponents.","On His First Day, Iraq’s Parliament Speaker Was Tested by Own Alliance"
"24",4,"2010-11-10T13:46:16+0000","Iraq’s leaders reached a tentative agreement to end an eight-month political impasse and return Nuri Kamal al-Maliki to power.","Tentative Deal in Iraq Keeps Maliki in Power"
"25",5,"2010-11-10T04:29:40+0000","Former Justice John Paul Stevens delivered one of the sanest and most instructive arguments for tolerance that we have heard in a long time.","Justice Stevens on ‘Invidious Prejudice’"
"26",6,"2010-11-08T15:22:00+0000","Attacks aimed at pilgrims hit near two of the holiest shrines for Shiite Muslims, as Iraqi leaders met to resolve the country’s political deadlock.","2 Blasts Near Shiite Holy Sites in Iraq"
"27",7,"2010-10-21T03:25:48+0000","Juan Williams, a senior news analyst, said on Fox News that people identifying themselves “first and foremost as Muslims” made him nervous when he flew.","NPR Fires Analyst Over Comments on Muslims"
"28",8,"2010-10-30T01:55:40+0000","Sadr City has moved from black-clad militiamen and Islamic codes to weddings, music, movies and games.","Baghdad’s Shiite Heart Beats Freely as War Ebbs"
"29",9,"2010-10-20T23:47:51+0000","Ismailis, widely reviled as heretics by Sunni Muslims in Saudi Arabia, identify with the oppressed Christians of ancient Najran.","Muslim Sect Sees Struggle Through Christian Lens"
"30",10,"2010-10-23T00:54:22+0000","A weeklong program at mosques in New York City and elsewhere is intended to promote harmony and improve a faith’s image in the public eye.","At Mosques, Inviting Non-Muslims Inside to Ease Hostility Toward Islam"
"31",1,"2010-10-27T04:31:10+0000","Lawmakers and others in Anbar Province are saying the national government did not consider local needs in awarding the rights to a gas field.","Anbar Province, Once a Hotbed of Iraqi Insurgency, Demands a Say on Resources"
"32",2,"2010-10-20T01:23:52+0000","Iraqis still don’t have a government. Resentments and mistrust are growing. That’s dangerous.","Iraq’s Stalemate"
"33",3,"2010-10-16T21:06:56+0000","The loss of Sunnis from the Awakening Councils, whose switch to the government’s side helped prevent sectarian war in 2006, is a new threat.","Sunnis in Iraq Allied With U.S. Rejoin Rebels"
"34",4,"2010-10-07T14:55:51+0000","The protests closely mirror Protestant opposition to the oldest Catholic church in New York State, the pastor says.","In Fierce Opposition to a Muslim Center, Echoes of an Old Fight"
"35",5,"2010-09-30T01:17:37+0000","The developer envisions raising more than $100 million with religiously approved bond-like instruments known as sukuk, which do not pay interest per se.","Muslim Center’s Developer to Use Islamic Loan Plan"
"36",6,"2010-10-08T01:41:14+0000","The law, which will take force next year, bans full-face veils in public.","France: Full-Face Veil Ban Approved"
"37",7,"2010-09-27T02:02:38+0000","The Muslim Day Parade in New York City, an annual event first held in 1985, came amid recent incidences of hate crimes.","For Muslims, Day of Celebration Amid Controversy"
"38",8,"2010-09-23T18:03:36+0000","Muslims in the U.S. accounted for about one-quarter of the religious discrimination claims filed by workers.","Muslims Report Rising Discrimination at Work"
"39",9,"2010-09-21T01:34:36+0000","Leaders of local and national groups declared that the planners have a constitutional right to build the center and that they would help the project move forward in the face of heated opposition.","Muslim Leaders Unite Behind Center"
"40",10,"2010-09-18T22:18:21+0000","If we ask moderate Muslims to speak out against extremism, then we should, too.","Message to Muslims: I’m Sorry"
"41",1,"2010-09-06T01:11:12+0000","The most influential of Egypt’s dissident groups is caught between fighting and placating the government.","Thin Line for Group of Muslims in Egypt"
"42",2,"2010-09-06T02:32:24+0000","The furor over a proposed center near ground zero has many worried about their place in American society.","American Muslims Ask, Will We Ever Belong?"
"43",3,"2010-09-11T21:18:21+0000","Bravo to those religious leaders who are fighting the anti-Islam frenzy.","Is This America?"
"44",4,"2010-09-11T22:17:10+0000","Was the Bush era better for U.S. Muslims?","My Nine Years as a Middle-Eastern American"
