snippet,article - date
"  Christian  tourists   TOURISTS  in  Israel  these  days  are  more  likely  to  be  clasping  a  copy  of  the  New  Testament  them  the  Tanach  as  they  make  their  way  from  one  religious  icon  to  another.   The  Jewish  Advocate  reports  that  more  American  Christians  now  visit  Israel  than  American   Jews.  Among  the  600,000-700,000  North  Americans  touring  Israel  each  year,  only  about  45  percent  are  Jewish—a  very  different  world   from  pre-1967  Israel,  when  75  per   cent  of  Israel’s  tourists  were  Jewish.   Israel  Government  Tourist  Office  North  America  official  Yehuda  Shen  says  the  low  number  of  American  Jews  who  had  visited  Israel  —  only  17-20  percent  —  may  stem  from  the  increasing  disen  gagement  between  American  Jews   and  Israeli  affairs.  What  has  remained  constant  is  the  religious,  historical  and  spiritual  appeal  that  draws  Gentiles  to  Israel,  he  says.  “These  tourists  comprise  the  evan  gelical  movements  coming  to  fol  low  in  the  footsteps  of  history.” ",2000-09-29
"  Christian  ©@ntre   JERUSALEM:  The  Hebrew  University  estab  lished  what  is  believed  to  be  the  first  Christian  study  centre  at  an  Israeli  university.  Research  at  the  Centre  for  the  Study  of  Christianity,  established  with  a  grant  from  a  Christian  fami  ly  from  Belgium,  will  emphasise  the  role  of  Christianity  in  the  Holy  Land  and  the  historical  relationship  between  Christianity  and  Judaism. ",2000-03-31
"  CHRISTIAN  RUN   One  hundred  children  from  Tasmanian  Christian  Schools  lined  up  for  their  annual  Cross  Country  Run.  The  event  was  hosted  this  year  by  the  Meander  Valley  School  and  was  held  at  Westbury.  The  Marshalls  ,   who  were  adults  and  senior  students,  were  monitored  at  all  intersections  to  direct  runners  and  ensure  approaching  motorists  were  aware  of  the  proceedings.  Due  to  space  we  can  publish  names  only  as  the  list  is  quite  long.  Champion  Girls:  Rebecca  Lee,  Anna-Kate  Mosley,  Maria  Jordan,  Vanessa  Young,  Adele  Auty,  Kate  Parker,  Runner-up  Girls:  Amy  Tattersall,  Brooke  Kimber,  Gemma  Wilby,  Jessica  Acheson,  Camilla  Halpin,  Michaela  Halpin.  Champion  Boys  Isaac  Streets,  Nathanial  Cochrane,  Benjamin  Dorling,  Christopher  Dorling,  Andrew  Martin,  Isaac  Stingle.  Runner-up  Bovs  :  Jarrod  Otten,  Sam  Tompkinson,  Tennyson  Colledge,  Roderick  Blackberry,  Nathan  Russell,  John  Albers.   The  U7  Group  of  Christian  Schools  students  taking  off  on  their  cross  country  run  at  Westbury  recently.  It  was  a  perfect  day  for  the  occasion.   Michael  Polley  [MHA]  and  Fr.  John  Hayres  enjoying  the  celebrations  at  Westbury's  Holy  Trinity  Church  with  Sisters  Virgil  Virtue,  Margaret  Cousins,  Margaret  Chandler,  Val  Becker,  Moira  Sheedy  &amp;  Ursula  Gilbert. ",2000-07-25
"  Late  Shirley  Christian   The  following  is  the  report  of  Mrs  Shirley  Christian  of  Bamaga.  Its  significance  is  very  important  not  only  to  the  Torres  Strait  but  the  Baha'i  Communities  throughout  the  world.  She  represented  the  Baha'is  of  Australia  in  Holy  Land,  Haifa,  Israel  in  1992  which  was  the  Baha'i  Holy  Year.  The  first  Baha'i  Funeral  in  the  Torres  Strait  was  that  of  our  devoted  and  beloved  Mrs  Shirley  MaryannChristian.  She  passed  away  peacefully  in  her  sleep  in  the  early  hours  of  Monday  21  st  of  February  2000.  Her  funeral  took  place  on  Wednesday  23  rd  February.  It  was  a  funeral  the  like  of  which  Torres  Strait  had  never  witnessed  before.  The  representative  of  the  Local  Spiritual  Assembly  of  the  Baha'is  of  Thursday  Island,  Mr  John  Spottiswoode  recited  the  Prayer  for  the  Dead.  Later  during  the  chanting  of  prayers  and  reciting  of  the  Holy  Words  of  God,  the  coffin  containing  her  bodily  remains  was  gently  lowered  into  the  bosum  of  mother  earth.  Her  resting  place  was  finally  covered  with  fresh  flowers  -  mainly  roses.  Her  favourite  flower  was  the  rose.  The  greatest  tribute  dear  Shirley  received  is  encapsulated  in  Baha'u'llah's  Holy  Word  describing  the  condition  of  a  devoted  soul.  It  is  as  follows  :   ""Seized  with  transports  of  joy,  and  raising  high  her  voice,  she  thus  exclaimed:  'May  my  life  be  a  sacrifice  to  Thee,  inasmuch  as  Thou  hast  fixed  Thy  gaze  upon  me,  hast  bestowed  upon  me  Thy  bounty,  and  hast  directed  towards  me  Thy  steps.  Separation  from  Thee,  O  Thou  Source  of  everlasting  life,  hath  well  nigh  consumed  me,  and  my  remoteness  from  Thy  presence  hath  burned  away  my  soul.  All  praise  be  to  Thee  for  having  enabled  me  to  hearken  to  Thy  call,  for  having  honored  me  with  Thy  footsteps,  and  for  having  quickened  my  soul  through  the  vitalizing  fra  grance  of  Thy  Day  and  the  shrilling  voice  of  Thy  Pen,  a  voice  Thou  didst  ordain  as  Thy  trumpet-call  amidst  Thy  people'.""  For  our  noble,  our  kind,  our  loving  Aunty  Shirley  :  ""When  the  swords  flash,  go  forward!  When  the  shafts  fly,  press  onward!  O  Thou  Sacrifice  of  the  worlds.  Dost  Thou  wail,  or  shall  I  wail?  Rather  shall  I  weep  at  the  fewness  of  Thy  champions,  O  Thou  Who  hast  caused  the  wailing  of  the  worlds"".  -  Baha'u'llah  Loved  always,  our  Aunty  Shirley,  the  friend,  the  mother,  the  rock,  the  champion.  From  her  admirers  and  well  wishers  throughout  the  world.   Contributed  by  the  Baha  'i  Community ",2000-03-03
"  Christian,  Jewish  co-operation   TRAVELLING  and  lecturing  has  become  a  way  of  life  for  historian  Dr  Han  Troen,   In  the  past  year  he  has  spoken  at  nine  universities  in  the  US  and  six  in  Europe,  as  well  as  in  Hong  Kong,  Beijing,  Pretoria  and  Cape  Town.   The  Lopin  Professor  of  Modern  History  at  Israel’s  Ben-Gurion  University  is  due  in  Sydney  next  week  as  this  year’s  Mandelbaum  House  scholar-in-resi  dence.   Among  the  lectures  he  will  give  is  this  year’s  Councils  Lecture  at  due  NCJW   Council  House  in  Woollahra.  Under  the   auspices  of  the  NSW  Council  of  Christians  and  Jews  and  NCJW,  he  will  speak  on  “The  Rescue  of  Jews  in  the  Modern   Period;  the  place  of  Jewish-Chriatian  co  operation”  on  July  26.   Dr  uanTroen   The  author  of  numerous  books  and   papers,  Dr  Troen  pub   It  a  he  d  •  Organising   Rescue?  J  e  w  I  s  h  National  Solidarity  in  the  Modern  Period  in  1992,  .  an  acclaimed  work-  ■  on  Jewish  liber*  ation  ■  -.from   persecution. ",2000-07-21
"  New  Christian  centre  opened   SUNDAY,  June  4,  saw  the  dedication  and  opening  of  the  new  Christian  Education  Centre  building  at  Our  Saviour's  Lutheran  Church,  Flinders  Highway,  Port  Lincoln.  This  building  was  built  as  a  result  of  an  existing  building  being  demolished  due  to  its  age  and  deteriorating  physical  state.  Pastor  Lester  Reinbott  dedicated  the  building  to  Christian  service  within  the  church  and  community,  with  the  builder  Mike  Hart  handing  over  the  keys  to  Chairman  John  Mitchell  who  then  officially  opened  the  building.  Named  the  Christian  Education  Centre,  it  will  be  the  main  meeting  place  for  the  Children's  Church  and  Youth  Groups  that  operate  within  the  congregation,  as  well  as  for  any  general  use  by  other  church  member  or  groups.  It  is  self  contained,  with  a  toilet,  kitchen  and  shower  facilities  available.   •  Pastor  Lester  Reinbott  declares  the  new  centre  open. ",2000-06-20
"  TRAVELLING  and  lecturing  has  become  a  way  of  life  for  historian  Dr  llan  Troen.   In  the  past  year  he  has  spoken  at  nine  universities  in  the  US  and  six  in  Europe  as  well  as  Hong  Kong,  Beijing,  Pretoria  and  Cape  Town.   Now,  the  Lopin  Professor  of  Modem  History  at  Ben  Gurion  University  is  in  Sydney  as  this  year’s  Mandelbaum  schol   ar  in  residence.   ,  Among  the  lectures  he  will  be  giving  is  this  year’s  Councils’  Lecture  at  the  NCJW,  Woollahra.   UndertheauspicesoftheNSWCouncil  of  Christians  and  Jews  and  NCJW  he  will  speak  on  “The  Rescue  of  Jews  in  the  Modem  Period;  the  place  of  Jewish/Christian  co-operation”  at  7.30pm  on  July  26. ",2000-07-21
"  Love  that  satisfies   A  story  is  told  about  a  little  boy  who  was  given  two  separate  dollar  coins  by  his  mother  to  take  to  Sunday  School,  one  to  put  in  the  collection  and  the  other  to  buy  some  sweets  on  his  way  home.  Skipping  along  the  road  he  tripped  and  dropped  the  coins.  One  rolled  down  a  nearby  drain.  The  boy  looked  up  to  heaven  and  said,  ""Sorry  God,  there  goes  your  dollar"".  Hosea  6:4b  says,  ""Your  love  is  like  a  morning  mist,  like  the  early  dew  of  the  morning"".  Our  love  for  God,  like  the  boy  in  the  story,  is  often  fleeting  and  selfish.  We  think  if  we  come  to  God  and  say  ""I'm  sony,""  everything  will  be  all  right.  Won't  it?  This  kind  of  attitude  makes  God  shake  His  head  in  frustration.  We  tend  to  think  that  all  God  wants  is  some  sort  of  superficial  turning  to  Him.  If  we  come  to  God  like  the  people  in  Hosea's  time  and  say,   ""Please""  the  Lord  will  be  delighted  and  He'll  fall  all  over  us  to  do  us  good.  But  God  isn't  interested  in  superficial  religion.  He  wasn't  in  the  time  of  Hosea  and  He  isn't  today.  That's  why  he  said,  ""Your  love  is  like  a  morning  mist"",  and  ""I  desire  mercy  not  sacrifice"".  What  do  these  two  phrases  mean?  First,  that  God  isn't  interested  in  fleeting  emotions  we  may  feel  toward  Him.  He  wants  complete  commitment.  Second,  our  love  for  God  is  not  to  be  shown  in  the  religious  ceremonies  but  in  our  daily  life.  Flowers  are  nice.  But  real  love  is  better  shown  by  helping  with  the  .dishes,  changing  dirty  nappies,  and  ""being  there""  when  support  and  encouragement  are  needed.   God  isn't  satisfied  with  a  bouquet  tossed  His  way  on  Sunday.  He  wants  us  to  show  our  love  for  Him  daily  by  doing  His  will.  And  so  God  seems  to  shake  His  head  —  and  in  frustration  wonder  aloud,  '  'What  can  I  do  with  you?''  God  has  no  use  for  ""love""  that  is  as  fleeting  and  insubstantial  as  a  morning  mist.  In  Mark  chapter  12,  verse  30,  Jesus  tells  us  exactly  what  God  requires  of  us.  He  said,  ""Love  the  Lord  your  God  with  all  your  heart  and  with  all  your  soul  and  with  all  your  mind  and  all  your  strength"".  May  you  find  God's  love  and  peace  for  you  today.   Pastor  John  Holloway  Echuca  Baptist  Church ",2000-07-21
"  Israelis  limited  in  Christian  icsiewledge   A  POLL  has  shown  that  less  than  a  third  of  Israelis  know  that  December  25  is  Christmas,  while  some  consid  er  Jesus  suitable  for  a  Knesset  job.   The  International  Fellowship  of  Christians  and  Jews  commissioned  Gallup  poll,  asked  479  Israeli  Jews  from  a  geographical  and  religious   cross-section  of  the  country,  16  questions  about  their  knowledge  and  experience  of  Christians  and   Christian  themes.   When  asked  what  Jesus’  path  might  be  were  he  alive  today,  19.6  percent  of  Israelis  surveyed  said  “Christian  preacher”,  while  fewer  than  half  that  number  said  “rabbi”.  Jesus  might  have  even  translated  his  message  into  legislation  since  4.6  percent  of  the  survey  sample  said  he  would  be  a  member  of  Knesset   today.   JTA ",2000-01-14
"  Jewish  leaders   “Christian  values”   Bernard  Rreedsnan   JEWISH  community  leaders  have  chal  lenged  the  right  of  church  organisations  acting  as  federal  job  agencies  to  ignore  anti-discrimination  laws  and  say  they  will  employ  only  those  people  with  “Christian   values”.   Executive  Council  of  Australian  Jewry  acting  president  Jo  Gostin  said  that  “the  ECAJ  will  definitely  write  to  the  govern  ment  seeking  clarification  about  what  the  parameters  will  be  in  the  employment   process.   “If  there  are  going  to  be  guidelines  estab  lished  by  these  organisations  and  they  are  specific  on  Christian  values  we  will  protest  very  definitely.”   Jewish  community  concern  follows  recent  published  comments  from  Wesley  Mission  public  relations  manager  David  McGovern,  which  Sydney  solicitor  and  Woollahra  Labor  councillor  George  Newhouse  condemned  as  “offensive  and  bigoted”  and  the  sort  of  argument  “you  would  expect  to  hear  from  a  white   supremacist”.   In  an  article  published  in  the  Sydney  Morning  Herald  this  month,  Mr  McGovern  said  organisations  like  the  Wesley  Mission  had  long  maintained  a  policy  of  having  “Christian  belief”  as  an  occupational  requirement.  This  was  because  they  had  found  that  “Christians  make  the  best  staff”,  would  “do  their  job  better”,  were  not  moti  vated  solely  by  money  and  were  “often  will  ing  to  go  that  extra  mile”.   Continued  page  4   George  Newhouse   Jewish  leaders  challenge  “Christian  values”   Continued  from  page  3   Employment  Services  Minister  Tony  Abbott  subsequently  inflamed  the  controversy  when  he  defended  the  right  of  church  organisations  to  “uphold  their  own  ethos”  by  employ  ing  people  holding  Christian  beliefs.   The  Wesley  Mission  is  one  of  at  least  four  major  Christian  organisa  tions  to  have  won  contracts  poten  tially  worth  a  total  of  $1.5  billion  as  job  placement  agencies  under  the  federal  government’s  privatised  Job  Network  program.   The  Christian  agencies  —  Salvation  Army  Employment  Plus,  Mission  Australia,  Centacare  Australia  Ltd  and  Wesley  Uniting  Employment—are  among  the  top  20  successful  tenderers  for  Job  Network  agencies.  The  Salvation  Army  and  Mission  Australia  head  the  list,  each  with  potential  incomes  running  into   hundreds  of  millions  of  dollars.   Victorian  Supreme  Court  Justice  Howard  Nathan:  “This  proposal  invites  almost  certain  constitutional  challenge.  Separation  of  church  and  state  is  one  of  the  constitutional  prin  ciples  we  imported  from  the  United  States  and  they,  in  turn,  imported  as  a  product  of  the  Enlightenment.   “This  is  a  principle  we  should  be  vigilant  in  upholding  and  Section  116  of  our  Constitution,  although  not  as  direct  as  its  American  parent,  does   prohibit  religious  tests  for  the  hold  ing  of  public  office.   “Where  the  government  authoris  es  religious  bodies  to  operate  some  of  its  functions,  it  cannot  permit  the  carrying  out  of  these  functions  to  be  proscribed  by  religious  belief  or  lack  of  it.  Preservation  of  public  harmony  suggests  it  would  be  best  either  to  abandon  the  proposal  or  for  the  organisations  to  expand  the  cate  gories  of  people  they  intend  to  employ.”   New  South  Wales  Jewish  Board  of  Deputies  acting  president  Amanda  Gordon:  “Christians  don’t  have  a  stranglehold  on  the  values  that  make  the  best  employers  or  employees.  Arguments  that  Christians  make  the  best  employees  are  ingredients  that  can  lead  to  bigotry  and  hatred.   “I  don’t  argue  against  the  rights  of  Christian  organisations  to  employ  Christians  in  church  work  or  other  religious  activities.  They  are  perfect  ly  entitled  to  do  so  just  as  Jewish  organisations  employ  Jews  in  activi  ties  connected  with  their  faith.  If  the  churches  can  act  in  a  secular  man  ner,  well  and  good.  But  if  they  see  the  jobs  placement  program  as  part  of  their  religious  ministry,  then  the  gov  ernment  should  not  be  giving  them   funds.   “There  should  be  no  discrimina  tion  on  religious  grounds  in  the  way  they  select  staff  otherwise  non   Christians  are  not  going  to  get  a  look   in.   “It  will  be  vital  to  monitor  the  situ  ation  and  politicians  should  be  receptive  to  the  views  of  their  elec  torate  on  this  issue.  There  is  a  need  for  a  change  in  the  law  to  ensure  that  the  freedom  from  anti-discrimination  legislation  enjoyed  by  religious  organisations  does  not  extend  to  their  role  as  employers  in  job  place   ment.""   Meanwhile,  Human  Rights  and  Equal  Opportunities  Commissioner  Chris  Sidoti  backed  Labor  and  the  Australian  Democrats  who  want  leg  islation  to  outlaw  discrimination  by  employment  agencies  run  by  reli  gious  organisations.   At  present,  the  federal  Human  Rights  and  Equal  Opportunity  Commission  Act  allows  religious  organisations  to  discriminate  “to  avoid  injury  to  the  religious  suscepti  bilities  of  adherents”  of  a  religion  or   creed.   And  a  warning  tetter  has  reported  ly  been  sent  from  the  Employment,  Workplace  Relations  and  Small  Business  Department  to  Job  Network  agencies  reminding  them  that  clause  13  of  their  contracts  requires  them  to  provide  Job  Network  services  “with  out  any  unlawful  discrimination”.   ■  Seepage  11 ",2000-01-21
