snippet,article - date
"  Morality  for  the  modern  Jew   Title:   The  Jewish  Moral  Virtues   Authors  Eugene  B  Horowitz  and   Frances  Weinman  Schwartz   Publisher;  The  Jewish  Publication   Society,  $55.00   Reviewer:  Michelle  Stein-Evers   THE  literature  of  practical  wis   dom,  Musar,  has  guided  generar  tions  of  Jews  in  matters  of  piety  throughout  the  ages.  Indeed,  the  Musar  movement  of  the  19th  century,  which,  led  by  Rabbi  Israel  Salanter,  historically  taught  ethics  in  theyeshiv  ot,  still  lives  in  more  traditional  com  munities.  By  contrast,  this  book,  writ  ten  by  Eugene  Borowitz  and  Frances  Schwartz,  teachers  at  the  rabbinic  seminary  of  the  Reform  movement,  New  York’s  Hebrew  Union  College,  is  firmly  outside  that  Musar  movement.   The  Jewish  Moral  Virtues  arose  out  of  a  course  which  Borowitz  taught,  based  on  the  untranslated,  but  recent,  Israeli  edition  of  Sefer  Maalot  Hamiddotby  13th-century  Roman  Jew  Yehiel  b  Yekutiel  b  Binyamin  Harofe.  He  was  a  scribe,  a  man  who  lived  before  Jews  had  personal  social  free  dom.  His  choice  of  values,  collected  in  his  Sefer,  focuses  on  those  which  enrich  one’s  personal  life.   For  seven  years  Borowitz  went  through  Harofe’s  Mediaeval  moral  handbook,  concentrating  on  the  24  values  listed  in  the  text  with  his  rabbinical  students.  The  students  each  researched  a  particular  value  and  that  research  forms  the  back  bone  of  the  resultant  book,  each  chapter  focusing  on  a  different  value,  such  as  wisdom,  compas   sion,  lovingkindness  and  charity.   Each  virtue  is  examined  in  depth,  and  examples  are  given  as  to  how  it  can  best  be  realised  in  our  modem  age.  The  translations  of  some  of  the   Hebrew  terms  used  are  sometimes  different  to  what  is  expected  (emunah  as  “trustworthiness”,  not  the  more  commonly  accepted  “faith”),  but  when  that  is  done,  it  is  explained  and,  in  the  end,  seems  to  make  the  terms  more  understandable.   The  prose  has  been  reworked  to  reflect  the  current  preoccupation  with  sexism.  Language  has  been  “demasculinised”  in  order  to  make  the  text’s  message  more  accessible  to  readers.  In  some  chapters,  one  can  hear  or  read  that  feminine  voice,  as  represented  by  Schwartz.  That  con  versation  between  the  masculine  (represented  by  Borowitz)  and  femi  nine  adds  to  the  intimacy  and  imme  diacy  of  the  text.   The  result  is  a  pleasant  marriage  of  scholarly  information,  homey  insights  and  examples  from  modem  daily  life.  Each  chapter  ends  with  a  collection  of  Jewish  folk  aphorisms,  quotes  from  Talmud  and  other  sources,  which  tie  the  concerns  of  the  topic  up  nicely.  It  is  a  book  that  can  be  read  through  and  enjoyed  in  order,  or  dipped  into  for  personal  reflection.  But  upon  reaching  the  end  of  a  chap  ter  or  the  book,  one  feels  that  one  has  been  blessed  with  a  new  sense  of  what  makes  a  Jewish  life  work  in  these  times  of  moral  insecurity.   Because  this  book  is  not  written  like  the  more  traditional,  pietistic  texts  of  Jewish  morals  and  living,  it  will  easily  resonate  among  those  who   like  their  Judaism  to  be  more  philo  sophical  and  less  traditionally  rab  binic.  Borowitz,  the  most  eminent  the  ologian  at  Hebrew  Union  College,  has  made  his  career  re-examining  Jewish  theology  and  its  workability  in  the  modem  and  post-modem  eras.  He  has  written  extensively  on  the  dilem  mas  modem  Jews  find  themselves  in,  trying  to  decide  which  part  of  one’s  life  is  Jewish  and  which  part  modem.  His  1993  book,  Renewing  the  Covenant  A  Theology  for  die  Post-mod  ern  Jew,  examines  in  detail  these  dilemmas  from  a  philosophical  van  tage  point.  Taken  together  with  The  Jewish  Moral  Virtues,  the  two  answer  many  questions  posed  by  members  of  the  community  who  choose  to  live  modem  lives  but  might  have  lost  Jewish  direction.   As  no-one  really  knows  why  Harofe  chose  some  values  over  others  (there  is,  for  example,  a  chapter  devoted  to  wealth,  but  not  to  justice),  the  choice  of  virtues  might  seem  odd.  But  the  timelessness  of  the  problem—name  ly,  what  are  the  qualities  we  hold  dear  as  Jews  and  how  would  we  imple  ment  them  in  active  and  challenging  lives  —  becomes  evident  when  we  look  at  Harofe’s  list  of  values.  It  is  com  forting  to  think  that  generations  have  stood  here  before  us  with  the  same  existential  questions  and  have  found  comfort  in  the  same  eternal  values.   In  the  epilogue,  “Post-Modem  Musaf,  the  writers  look  at  the  mod  em  civic  virtues  of  social  justice,  free  dom  and  democracy  and  at  what  they  consider  to  be  the  three  most  impor  tant  virtues:  tolerance,  hope  and  bal  ance.  To  them,  modernity  is  unbear   able  without  these,  and  without  faith  in  the  “Senior  Partner”  there  isn’t  much  of  a  Jewish  future.   This  is  a  friendly,  touching  book,  which  no  matter  how  you  look  at  it,  seeks  to  gently  guide  and  heal.  It  speaks  in  a  soft,  but  serious,  voice   about  the  hard  decisions  with  which  we  are  faced  and  the  virtues  that  can  make  those  sometimes  difficult  choic  es  easier  to  bear.   Michelle  SteirtEvers  is  an  educator,  writer  and  reviewer. ",2000-11-10
"  jewisli  identity   A  GODLESS  Jew?  Freud,  Moses  and  Jewish  Identity,  talk  by  the  director  of  the  Centre  for  Intercultural  Jewish  Studies,  Professor  John  Milfull,  presented  by  Australian  Association  of  Jewish  Holocaust  Survivors  and  Descendants  and  Sydney  Jewish  Museum  at  the  museum.  March  8,  7.30pm.  9360  7999. ",2000-02-25
"  The  Jew  in  the  Lotus   IN  1SS0,  eight  Jews  travelled  to   Dharamsala,  India,  at  the  request  of  the  exiled  Mai  lama  to  share  “the  secret  of  Jtewfeb  survival  in  exile”.  When  writer  Eodger  Kamenete  was  invited  to  go  along  to  chmnide  the  evant,  hits  life  changed  unexpectedly.  He  embarked  on  an  intense  personal  journey  that  led  him  back  to  his   Jewish  roots.  As  lie  discovers,  sometimes  you  have  to  gofer  away  to  find  your  way  home.   Hie  film,  The  Jew  m  Ihe  Lotus,  is  based  on  Kamenefcz’s  book  of  the  same  name,  and  also  probes  the  parallels  between  the  plight  of  the  Tibetan  people  and  die  Jewish  Diaspora.  It  will  screen  at  the  Qiauvel  Cinema  in  Mdington  on  August  31.  AM  proceeds  will  go  to  the  AustraiiaTibet  CmincH  and  JewishCare.  Tickets:  adult  $20,  students  $17. ",2000-08-25
"  JERUSALEM:  One  of  the  13  Iranian  Jews  on  trial  in  the  southern  Iranian  city  of  Shiraz  has  “admitted”  spying  for  Israel.   It  is  unclear  whether  Hamid  Danny  Tefileen  —  whose  “confes  sion”  was  screened  by  Iranian  State  Television  —  will  take  the  fall  for  the  entire  group,  or  if  his  “confession”  will  provide  ammunition  for  punishing  some  or  all  of  the  accused.  Tefileen  is  believed  to  be  the  leader  of  the  13.   According  to  Israel  Radio,  Tefileen,  one  of  13  Jews  being  tried  for  espionage  and  harming  state  security,  “admitted”  being  paid  and  trained  by  Israel’s  Mossad  secret  service  in  order  to  transfer  information  about  Iran.  His  lawyer  said  that  Tefileen  received  money  from  Israel.  A  devoutly  religious  man,  he  admitted  visiting   Israel  in  1994.   In  speculating  on  why  Tefileen,  an  impoverished  trader,  had  “confessed”  to  spying,  observers  believe  that  he  may  have  been  facing  other  trumped-up  charges,  such  as  drug  possession  or  smuggling.  He  may  have  been  offered  leniency  if  he  confessed  to  the  spying  charge;  or  perhaps  the  freedom  of  his  brother,  Omid,  was  dangled  before  him.  Omid  is  one  of  three  who  was  released  on  bail  in  February,  and  is  likely  to  be  pardoned.   Either  way,  said  Malcolm  Hoenlein,  executive  vice-chairman  of  the  Conference  of  Presidents  of  Major  American  Jewish  Organisations,  Tefileen  and  the  rest  are  innocent.  “If  this  doesn’t  give  all  the  appearances  of  a  set-up,  I  don’t  know  what  does,”  he  said.  “Listen,  you  sit  in  jail  for  a  year,  in  conditions  no  one  knows  about.  How  can  we  judge  someone  in  that  situation?”   “If  this  doesn’t  give  all  the  appearances  of  a   set-up,  I  don’t  know  what  does.”   Tefileen’s  court-appointed  lawyer,  Shirzad  Rahmani,  told  reporters  that  the  “confession”  is  not  enough  to  convict.  Under  Iranian  law,  Rahmani  noted,  the  state  has  to  prove  its  case  with  evidence.  “There  may  have  been  confessions,  there  may  have  been  an  intention  to  spy,  there  may  have  been  several  trips  to  Israel  and  there  may  have  been  payments,”  he  said.  “But  if  infor  mation  damaging  to  Iran  and  beneficial  to  Israel  was  not  actually  exchanged,  there  can  be  no  charge  of  espionage.”   Tefileen  was  the  first  of  the  13  to  be  arrested.  He  has  been  in  detention  for  a  year.  He  reportedly  asked  the  judge  to  show  mercy.  Espionage  is  punishable  in  Iran  by  death.  Tefileen  was  the  only  suspect  brought  to  the  court  when  the  trial  opened.  A  court  spokesman  said  that  the  trial  is  expected  to  last  six-to-seven  months..  The  hearings  are  being  held  behind  closed  doors.  However  reports  say  that  large  numbers  of  relatives,  foreign  observers  and  diplomats  and  two  of  the  Jews  who  were  released  on  bail  gathered  outside  the  courtroom.   After  the  hearing,  the  Iranian  authorities  accused  Tefileen  of  spying  for  “the  love  of  Israel”  —  and  for  the  money.  Israel  stead  fastly  denies  the  link.  “We  don’t  have  anything  new  to  say  from  what  we  have  said  in  the  past,”  Israeli  Foreign  Ministry  spokesman  Aviv  Sharon  told  reporters  in  Israel.  “We  don’t  have  any  connection  with  any  of  those  who  stand  trial  now  in  Iran.”   But  it  is  the  Israeli  stamp  in  Tefileen’s  passport  that  seems  to  be,  from  Iran’s  perspective,  the  smoking-gun  for  the  entire  case,  said  Hoenlein.  “Without  him,  there’s  no  case,”  said  Hoenlein,  who  has  been  closely  monitoring  developments  taking  place  in  Iran.  “Getting  him  to  confess  was  crucial.”   In  this  and  all  Iranian  court  cases,  the  judge  also  acts  as  inves  tigator,  prosecutor  and  jury,  which  observers  say  is  clearly  a   recipe  for  judicial  abuse.   JTA,  Jerusalem  Post ",2000-05-05
"  jewBsh  culture   MODERN  and  traditional  music  oy  jewisn   composers,  including  liturgical  music,  per  formed  by  the  Sydney  Jewish  Choir  with  Valery  Suraev,  and  screening  of  Uncle  Chatzkel,  part  of  the  Carnivale  Multicultural  Arts  Festival,  Sydney  Jewish  Museum.  October  11,  6pm.  9360  7999.  Carnivale  pro  gram  guide:  1800  064  534. ",2000-09-22
"  Jewish  identity   OKAL  History  or  rsycnoiogicai  ueograpnyr   Interviewing  Jews  about  Jewish  Identity,  by  Michael  Garbutt,  The  Shalom  Institute,  University  of  NSW.  September  5,  12.30pm.   Sandra  9663  1366. ",2000-09-01
"  Jewish  identity   ORAL  History  or  Psychological  Geography?  Interviewing  Jews  About  Jewish  Identity,  pre  sented  by  Michael  Garbutt,  The  Shalom  Institute,  University  of  NSW.  September  5,  12.30pm.  Sandra  9663  1366. ",2000-08-25
"  UlVU.  I  11DU-U  y  Ul  l  Jjv.nvivgiv.ui   Interviewing  Jews  About  Jewish  Identity,  pre  sented  by  Michael  Garbutt,  The  Shalom  Institute,  University  of  NSW.  September  5,  12.30pm.   Sandra  9663  1366. ",2000-08-18
"  iewish  history   HISTORY  of  the  Jews  (part  four)  —  Jews  Under  Islam,  presented  by  Harry  Opperman,  COA.  August  28,  1pm.  9389  0035. ",2000-08-25
"  iewish  brigade   A  DISCUSSION  of  how  Jews  rescued  Jews  at  tne   end  of  World  War  Two,  plus  a  screening  of  the  film  The  Jewish  Brigade,  Sydney  Jewish  Museum.  August  13,3pm.  9360  7999. ",2000-08-11
