snippet,article - date
"  Muslim,  Jewish  women  share  issues   THE  similarities  between  Judaism  and  Islam  surprised  many  of  the  young  Muslim  women  who  attended  an  interfaith  dialogue  addressed  by  the  vice-president  of  Or  Chadash  Synagogue  Judy  Levitan.   The  Lakemba  meeting,  organised  by  the  Muslim  Women  Association  (MWA),  also  fea  tured  a  Roman  Catholic  speaker,  Lisa   McDonald.   MWA  president  Maha  Abdo  hailed  the  dis  cussion  of  the  tenets  of  the  three  monotheistic  faiths:  “We  called  the  meeting  The  Power  of  Our  Faith  because  I  think  each  of  us  finds  power  in  our  faiths.  We  all  believe  in  one  God  and  we  all  have  very  similar  issues  dating  back  to  Adam  and  Eve  and  Ibrahim,  peace  be  upon  him.  We  will  all  be  judged  by  the  same  God,  so  we  feel  there’s  a  reason  He  created  us  different  ly   “This  was  the  first  meeting  of  its  kind  and  it’s  going  to  be  the  first  of  many.  I  think  it  will  put  a  lot  of  tranquility  in  people’s  hearts,  allowing  us  to  be  secure  in  our  beliefs  without  ridiculing  others’  faiths,  accepting  differences  and  build  ing  on  the  similarities.”   She  said  that  many  of  the  50  Year  10-12  Muslim  girls  in  the  audience  were  surprised  at  how  much  Judaism  and  Islam  had  in  common.   Ms  Lacey  said  Ms  Levitan  spoke  about  the  tenets  of  Judaism  and  how  young  people  par  ticipated  in  the  Jewish  community,  and  explained  the  centrality  of  Israel  and  Jerusalem  in  Judaism.  “The  discussion  was  warm  and  friendly,  and  the  similarities  between  Islam  and  Judaism  were  noted.  It  was  a  very  lively  and  very  constructive  discussion.” ",2000-05-12
"  Call  to  end  support  for  Muslim  refugees  rejected   AT  THE  BOARD   STEFAN   BIALOGUSKfl   A  SOLITARY  call  to  end  the  commu  nity’s  support  for  Muslim  refugees  was  firmly  rebuffed  at  the  NSW  Jewish  Board  of  Deputies  monthly  plenum  last  week.   “Our  community  has  a  very  strong  sense  of  social  conscious  ness,  but  I,  as  an  individual,  am  appalled  that  this  body  has  sup  ported  helping  Muslim  refugees  from  the  Middle  East  as  part  of  our  feeling  that  we  should  help  other  refugees  because  we  were  once  refugees,”  Sophie  Caplan  told  fellow  deputies.  “I  suggest  we  not  be  such  good  people  and  not  support   Muslims.”   Ms  Caplan’s  statement  followed  a  report  by  Executive  Council  of  Australian  Jewry  national  vice-presi  dent  Jeremy  Jones,  in  which  he  described  antisemitic  outbursts  by  some  anti-Israel  lobbyists.  However,  Mr  Jones  led  a  string  of  rebuttals  of  Ms  Caplan’s  suggestion.   “The  end  of  winning  the  Middle  East  debate  doesn’t  justify  the  means  of  not  being  generous  in  our  hearts  and  in  our  policies  to  refugees,”  he  said.  “I  believe  the  final  product  will  be  determined  by  the  means,  and  if  the  means  are  not  ones  with  which  I  would  be  happy  to  live,  then  I  don’t  think  the  ends  would  be  particularly  good.”   Board  president  Stephen  Rothman  said  he  could  appreciate  the  anger  engendered  by  anti  Jewish  material  that  has  appeared  in  the  context  of  the  Middle  East  vio  lence,  but  he  reminded  the  plenum  of  the  benefits  that  the  Jewish  com  munity  had  derived  from  the  toler   Sophie  Caplan   ance  generated  by  Australia’s  multi  cultural  society.   He  also  warned  against  stereo  typing  Arabs  and  Muslims  in  this  country  as  all  being  anti-Israel  or  hostile  towards  Jews.  “Bear  in  mind  that  most  Muslims  in  Australia  are  not  Arabs  and  most  Arabs  in  Australia  are  not  Muslim,  so  you  must  be  very  careful  about  generalising.”   Educator  Dr  Harry  Oppermann  added:  “There’s  a  Talmudic  teach  ing  which  says  if  your  friend  asks  you  a  favour  at  the  same  time  as  your  enemy  —  and  I’m  not  sug  gesting  that  Muslims  are  automati   Premier  Bob  Carr  at  the  Board  of  Deputies.   cally  the  enemy  —  you  should  rush  to  assist  your  enemy  first.”   Earlier,  Mr  Jones  described  how  an  anti-Israel  rally  outside  the  US  Consulate  recently  featured  a  non  Arab  speaker  who  referred  to  the  “evil,  Talmudic,  Zionist  Jews”  —  comments  which  received  no  media  attention.   Furthermore,  a  letter  was  being  cir  culated  among  the  “human  rights  community”  by  Melbourne  resident  Asem  Judeh  in  which  he  wrote:  “Indeed,  the  Zionists  never  completes  (sic)  its  joy  and  blessing  in  Rosh  Hashanah  (Mew  Year  feast)  without  BLOOD,  Palestinian  BLOOD  (sic)”.   And  the  Australian  Muslim  News  recently  published  a  statement  by  the  Supreme  Islamic  Council  of  New  South  Wales  which  referred  to  the  “so-called  holocaust”.   Ms  Caplan  was  singled  out  at  the  start  of  the  meeting  by  Premier  Bob  Carr  in  his  address.  He  thanked  the  Jewish  community  for  its  “coopera  tion  in  the  greatest  event  that  NSW  has  been  called  on  to  stage,  the  Olympic  Games.  Your  community  was  out  in  front.  One  of  the  first  vol  unteers  I  met  was  Sophie  Caplan  in  the  Athletes  Village,  making  sure  we  were  projecting  an  image  of  friendli  ness  to  our  visitors.”   Sephardi  Chief  Rabbi  Eiiyahu  Bakshl-Doron,  who  will  be  the  main  speaker  at  the  rededication  of  the  Sephardi   Synagogue,  Wooilahra,  on  December  10,  the  Board  was  informed.  The  38-year-old  synagogue  has  undergone  a  10-month  renovation,  Including  the  Installation  of  a  women's  gallery.   In  addition  to  expressing  solidari  ty  with  the  State’s  Jews  in  the  face  of  physical  attacks  and  intimidation,  Mr  Carr  said  he  was  planning  to  visit  Israel  next  year  with  the  Australia  Israel  Chamber  of  Commerce.  The  “miracle  of  the  Israeli  economy”,  he  said,  “shows  the  Middle  East  what’s  on  offer  if  peace  can  be  secured.  It’s  demonstrated  that  high-tech  economies  can  flourish  in  the  region.  I  want  to  see  Australia  share  in  that  success,  so  I’m  preparing  to  visit  Israel  in  2001,  leading  an  AICC  mission  to  see  if  we  can  gain  a  boost,  particularly  in  the  high-tech  and  telecommunications  sectors.” ",2000-12-01
"  JERUSALEM:  Israel  has  warned  citi   zens  against  travelling  to  Muslim   countries.  Israelis  who  do  travel   should  refrain  “from  emphasising  that  they  are  Israeli”,  it  advised. ",2000-10-13
"  JERUSALEM:  An  Israeli  court  extend  ed  by  another  three  months  the  detention  of  two  Muslim  fundamen  talist  leaders  from  Lebanon.  Israel  has  been  holding  the  two,  Sheik  Abdel  Karim  Obeid,  a  Hezbollah  leader,  and  Mustafa  Dirani,  a  leader  of  the  Amal  movement  as  bargaining  chips  for  the  release  of  captured  Israeli  air  naviga  tor  Ron  Arad.  The  Supreme  Court   issued  a  ruling  earlier  this  year  bar  ring  such  detentions,  but  prosecutors  argued  that  the  two  would  pose  a  threat  to  state  security  if  released. ",2000-07-21
"  PiTOr©©  isy  ©snail   AVOIDING  messy  divorce  proceed  ings  may  become  reality  for  some   in  the  Muslim  world  if  a  United  Arab  Emirates  court  decides  that  Islamic  law  permits  divorce  by   email.   Under  Islamic  law,  a  man  can  divorce  his  wife  by  simply  telling  her  “I  divorce  you”,  as  long  as  cer  tain  conditions  are  met.  According  to  Gulf  News,  the  court  in  Dubai  is  to  rule  in  a  case  in  which  man  noti  fied  his  wife  of  his  intention  to  divorce  her  by  sending  her  a  mes  sage  on  the  internet.  The  court  has  to  decide  whether  that  is  to  be  con  sidered  valid  under  the  United   Arab  Emirate’s  Islamic  laws.  The  husband  is  an  American  citizen  of  Arab  origin,  and  his  wife  is  Saudi. ",2000-05-26
"  JERUSALEM:  Morocco’s  King:  Mohammed  invited  Israeli  Foreign  Minister  David  Levy  to  visit  him  this  month  at  the  end  of  the  Muslim  holy  month  of  Ramadan.  Morocco  and  Israel  established  low-level  ties  a  year  after  the  first  Oslo  Accord  was  signed  in  1993,  but  Morocco  has  refused  to  upgrade  relations  pend  ing  progress  in  Israel's  talks  with  Syria  and  Lebanoa ",2000-01-07
"  asian  antisemitism   PROFESSOR  Clive  Kessler  discusses  “Muslim  Antisemitism  in  South-East  Asia?”,  presented  by  Australian  Association  of  Jewish  Holocaust  Survivors  and  Descendants,  Sydney  Jewish  Museum  theatrette.  June  21,7.30pm.  Tom  9327  6797. ",2000-06-16
"  US  expert  sounds  terrorism  warning   Marie  BrisSdn   HEZBOLLAH  and  the  Muslim  Brotherhood  are  operating  in  Australia  and  may  target  the  Sydney  Olympics,  an  American  terrorism  expert  has   warned.   Director  of  the  American  Jewish  Committee’s  division  on  Middle  East  and  International  Terrorism,  Yehudit  Barsky  told  the  Australian  Jewish  News  that  terrorist  organisations  including   the  Hezbollah  and  the  Muslim  Brotherhood  have  had  links  in   Australia  for  many  years.   Hezbollah  operatives  in  Australia  have  been  able  to  raise  money  and  move  freely,  she  said  —  and  the  Olympics  made  Australia  more  attrac   tive  to  terrorists.   “The  Games  represent  to  terrorist  organisations  the  apogee  of  Western  culture.  They  look  at  Western  culture  as  Western  imperialism.  From  their  perspective,  it  is  a  weapon  used  by  the  West  to  destroy  the  Muslim  world,  to  destroy  the  spiritual  integrity  of  the   Muslim  world.”   Terrorists  chose  targets  depending  upon  the  security  surrounding  them,  Ms  Barsky  said.  “If  the  Sydney  Games  were  nominated  as  a  target  for  a  ter  rorist  act,  but  proved  to  be  inaccessi  ble,  then  a  secondary  target  such  as  the  Jewish  community  was  likely  to  be  another  objective.   “There  are  members  of  Hezbollah  in  Australia.  This  has  been  stated  by  heads  of  intelligence  agencies  for  the  last  decade.  So  in  looking  at  this  issue,  the  capability  that  these  groups  have  and  the  fact  that  they  are  able  to  do  certain  things  because  we  are  not  going  to  draconian  measures  in  our  society,  means  they  are  going  to  con   tinue  to  exist  here.”   Ms  Barsky  said  terrorists  saw  their   existence  in  Australia  in  terms  of  an   investment.  They  were  able  to  travel  freely  throughout  Australia,  organise  lectures,  publish  magazines  and  repli  cate  video  and  audiotapes  for  their  organisation.   One  of  the  most  extreme  Muslim   publications  is  published  in  Australia,   —Nida’ulIslam.  “It  is  the  most  blatant   example  of  a  publication  of  Sunni  radi  cal  Muslim  groups  that  legitimise  sui  cide  bombings  —  they  call  them  mar  tyrdom  operations.  There  is  no  publi   cation  like  that  in  the  US  or  Britain.”   Ms  Barsky  was  a  guest  of  the  Australia/Israel  &amp;  Jewish  Affairs  Council.  Criticising  stereotypes,  she  said:  “It  is  insulting  to  a  peaceful  per  son  who  observes  his  religion  as  a   Muslim  when  he  sees  the  abuse  these  movements  make  of  the  religion  as  a  political  movement  and  as  radical  political  ideology.”   9  Next  week  —  ASO  prepares   to  deal  with  terrorists ",2000-07-14
"  JOHANNESBURG:  A  Muslim  radio  star  tion  is  asking  a  court  to  amend  the  country’s  code  of  conduct  for  broad  casters  that  prohibits  hate  speech.   In  a  case  before  the  Johannesburg  High  Court,  Radio  786  said  the  code  limits  freedom  of  expression.   It  brought  the  case  after  the  South  African  Jewish  Board  of  Deputies  lodged  a  complaint  against  it  for  airing  a  program  on  Zionism  and  Israel.   Appearing  on  the  program  was  Yacoub  Zaki  of  the  Muslim  Institute  in  London,  who  said:  “I  accept  that  one  million-plus  Jews  died  during  the  Second  World  War,  but  I  dispute  the  fact  that  they  were  murdered,  that  they  were  killed  by  gassing.  These  people  died,  like  other  people  in  the  camps,  from  infectious  diseases.”   The  code  of  conduct  states  that  broadcasters  shall  not  air  material  that  is  indecent  or  offensive  to  public  morals,  or  is  offensive  to  religious  con  victions  or  feelings.   The  Board  of  Deputies  contends  that  the  code  is  a  justifiable  limitation  on  freedom  of  expression.  Setting  it  aside  would  permit  hate  speech  to  be  broadcast  in  South  Africa,  it  contend  ed.  “We  maintain  that  Radio  786  has  attempted  to  disguise  classic  antise  mitic  racism  and  Holocaust  denial   under  the  guise  of  opposition  to  the  political  ideology  of  Zionism,”  it  said.   The  station  charged  that  the  code  was  “put  in  place  during  apartheid  days  and  is  too  broad.  Other  clauses  in  the  Constitution  protect  citizens   from  hate  speech,”  it  added.   JTA ",2000-12-22
"  Back  in  the  saddle   KIRK  Douglas  was  back  in  the  sad  dle  during  a  recent  trip  to  Israel  to  open  a  playground  in  the  Muslim  Quarter  of  Jerusalem’s  Old  City  —  the  fifth  playground  which  he  and  his  wife  Anne  have  built  in  Israel.   “It’s  like  in  the  movies  with  John   Wayne,”  the  83-year-old  actor  told  reporters  as  he  sprang  onto  a  toy  horse  at  the  playground.   The  star  of  such  classics  as  Cast  a  Giant  Shadow  and  Spartacus  said  the  playground  was  special  because  it  represented  his  hope  for  a  peaceful  future  for  Israeli  and  Arab  children.  “I  was  hoping  that  Arab  and  Israeli  children  would  play  here  together.  My  wife  and  I  are   trying  to  help  the  children  because  my  generation  has  not  done  a  good  job  of  maintaining  peace.”   Playground  director  Hala  Amas  said  she  was  grateful  that  100  chil  dren  would  now  have  a  place  to  play  among  the  crowded  alleyways  of  East  Jerusalem  (picture,  page  17). ",2000-07-28
